time,open,high,low,close,volume
1782756000000,60396.0,60426.0,60300.3,60407.9,800.051
1782756300000,60407.9,60483.8,60378.4,60451.2,540.529
1782756600000,60451.2,60500.1,60441.8,60499.9,382.494
1782756900000,60500.0,60500.0,60355.3,60441.4,480.056
1782757200000,60441.4,60458.9,60406.5,60412.0,277.684
1782757500000,60411.9,60412.8,60200.5,60254.4,1423.58
1782757800000,60254.4,60317.8,60214.0,60229.8,483.623
1782758100000,60229.8,60282.0,60179.8,60249.6,1062.422
1782758400000,60249.6,60285.3,60200.0,60265.6,611.096
1782758700000,60265.5,60274.1,60220.0,60237.7,266.116
1782759000000,60237.7,60237.7,60150.2,60213.4,447.484
1782759300000,60213.3,60275.4,60207.1,60275.4,149.544
1782759600000,60275.4,60288.5,60151.6,60165.1,310.726
1782759900000,60165.1,60198.8,60127.4,60191.8,504.615
1782760200000,60191.9,60245.9,60172.5,60178.9,228.839
1782760500000,60178.9,60265.1,60164.0,60261.6,239.903
1782760800000,60261.6,60404.9,60254.0,60368.2,622.54
1782761100000,60368.1,60459.0,60320.9,60430.2,538.083
1782761400000,60430.2,60445.7,60289.9,60299.7,610.582
1782761700000,60299.6,60368.0,60284.0,60343.9,294.109
1782762000000,60344.0,60451.9,60316.8,60443.1,411.216
1782762300000,60443.0,60506.1,60420.6,60491.9,491.334
1782762600000,60491.9,60540.0,60389.8,60451.0,1087.288
1782762900000,60451.1,60517.7,60399.5,60409.3,686.906
1782763200000,60409.3,60535.0,60402.6,60484.3,703.541
1782763500000,60484.3,60491.1,60410.0,60428.8,730.181
1782763800000,60428.8,60469.8,60400.0,60410.0,560.832
1782764100000,60409.9,60416.2,60334.4,60356.2,203.401
1782764400000,60356.1,60424.7,60348.0,60403.6,215.24
1782764700000,60403.6,60464.7,60369.1,60380.6,440.076
1782765000000,60380.6,60451.3,60371.9,60444.1,150.827
1782765300000,60444.2,60456.1,60386.6,60439.3,449.541
1782765600000,60439.3,60440.3,60386.0,60392.6,266.253
1782765900000,60392.7,60392.7,60321.4,60372.7,445.561
1782766200000,60372.6,60372.6,60277.4,60282.0,616.347
1782766500000,60282.0,60297.1,60265.1,60271.2,172.354
1782766800000,60271.2,60333.3,60234.2,60264.4,324.374
1782767100000,60264.5,60327.0,60232.1,60293.7,316.797
1782767400000,60293.8,60390.5,60293.8,60383.7,211.247
1782767700000,60383.8,60383.9,60290.1,60290.1,252.983
1782768000000,60290.1,60315.0,60276.1,60278.0,169.296
1782768300000,60278.0,60329.2,60276.2,60325.1,119.862
1782768600000,60325.1,60406.1,60325.1,60383.0,131.438
1782768900000,60383.1,60447.0,60371.5,60447.0,181.477
1782769200000,60446.9,60470.0,60380.5,60436.1,301.647
1782769500000,60436.1,60494.4,60436.1,60482.5,156.197
1782769800000,60482.5,60565.6,60454.5,60545.0,348.858
1782770100000,60545.0,60545.0,60434.3,60454.9,307.85
1782770400000,60454.9,60471.4,60424.1,60438.8,153.276
1782770700000,60438.9,60464.7,60378.1,60419.9,153.11
1782771000000,60420.0,60426.0,60333.1,60426.0,368.863
1782771300000,60426.0,60463.0,60406.1,60463.0,148.184
1782771600000,60462.9,60493.2,60407.6,60420.2,179.363
1782771900000,60420.2,60441.1,60400.0,60414.6,125.566
1782772200000,60414.5,60433.5,60361.9,60366.1,148.841
1782772500000,60366.2,60372.0,60314.0,60334.3,164.376
1782772800000,60334.4,60371.0,60328.9,60360.0,105.208
1782773100000,60360.0,60396.0,60355.9,60389.9,142.401
1782773400000,60389.9,60406.0,60341.8,60402.0,214.58
1782773700000,60402.0,60402.0,60319.0,60326.5,162.628
1782774000000,60326.4,60353.9,60321.7,60327.1,125.169
1782774300000,60327.1,60327.1,60302.9,60322.2,105.466
1782774600000,60322.1,60335.9,60300.0,60316.0,225.004
1782774900000,60316.1,60339.1,60302.8,60303.9,158.871
1782775200000,60304.0,60304.0,60134.0,60222.7,847.05
1782775500000,60222.7,60229.0,60198.3,60199.5,181.202
1782775800000,60199.5,60261.1,60185.6,60225.8,244.785
1782776100000,60225.7,60267.6,60207.5,60247.1,158.527
1782776400000,60247.1,60247.1,60216.9,60219.5,140.096
1782776700000,60219.5,60265.5,60207.5,60239.4,389.451
1782777000000,60239.4,60258.4,60191.7,60197.7,166.676
1782777300000,60197.7,60244.0,60185.0,60224.7,305.067
1782777600000,60224.7,60250.0,60164.3,60240.8,426.426
1782777900000,60240.8,60240.8,60165.0,60165.1,339.554
1782778200000,60165.1,60228.1,60110.0,60171.0,365.351
1782778500000,60171.1,60207.0,60122.3,60129.8,232.786
1782778800000,60129.8,60144.0,60058.0,60070.7,456.847
1782779100000,60070.7,60077.4,59888.0,59908.5,1119.265
1782779400000,59908.4,59911.3,59668.6,59853.9,2870.893
1782779700000,59853.8,59873.3,59691.8,59700.0,864.249
1782780000000,59700.1,59772.5,59667.5,59747.6,813.832
1782780300000,59747.5,59863.5,59721.9,59828.4,614.278
1782780600000,59828.4,59920.8,59739.6,59839.8,748.869
1782780900000,59839.8,59853.7,59795.6,59806.1,280.897
1782781200000,59806.1,59841.0,59753.1,59829.9,451.873
1782781500000,59829.8,59831.1,59740.0,59763.6,404.649
1782781800000,59763.6,59827.2,59756.9,59797.8,325.429
1782782100000,59797.8,59969.6,59779.2,59945.1,545.026
1782782400000,59945.2,59963.3,59887.0,59909.9,308.357
1782782700000,59910.0,60023.9,59900.0,60010.2,502.211
1782783000000,60010.2,60024.9,59957.3,59963.5,322.6
1782783300000,59963.6,59979.6,59795.1,59843.0,774.522
1782783600000,59843.1,59850.0,59759.8,59804.0,440.829
1782783900000,59804.0,59890.0,59801.2,59890.0,251.554
1782784200000,59890.0,59895.0,59856.0,59884.2,171.333
1782784500000,59884.3,59922.2,59879.5,59919.6,183.923
1782784800000,59919.6,59928.0,59843.1,59849.4,230.927
1782785100000,59849.4,59892.1,59847.0,59888.5,180.137
1782785400000,59888.4,59888.4,59740.1,59761.2,509.273
1782785700000,59761.3,59787.4,59719.6,59787.3,448.275
1782786000000,59787.4,59895.0,59787.3,59895.0,242.516
1782786300000,59895.0,59968.0,59894.9,59947.2,204.896
1782786600000,59947.3,59949.0,59892.0,59945.1,233.471
1782786900000,59945.0,60001.0,59935.2,59987.9,308.506
1782787200000,59987.9,60004.3,59983.5,59985.6,241.232
1782787500000,59985.5,60020.0,59985.2,60017.5,244.752
1782787800000,60017.5,60021.4,59995.4,60005.5,242.068
1782788100000,60005.4,60005.5,59907.4,59920.4,384.157
1782788400000,59920.4,59959.7,59912.7,59918.6,313.964
1782788700000,59918.7,59950.0,59832.1,59885.5,385.358
1782789000000,59885.6,59921.5,59864.9,59877.8,210.085
1782789300000,59877.8,60007.9,59866.2,59988.8,346.756
1782789600000,59988.9,60002.3,59802.1,59802.3,247.622
1782789900000,59802.3,59855.4,59791.3,59832.9,241.055
1782790200000,59832.8,59832.9,59723.1,59741.8,844.681
1782790500000,59741.9,59770.1,59724.9,59741.8,362.242
1782790800000,59741.8,59749.3,59713.8,59714.0,231.933
1782791100000,59714.0,59714.0,59579.1,59653.8,1675.734
1782791400000,59653.8,59674.3,59582.7,59600.8,325.707
1782791700000,59600.8,59625.2,59570.0,59596.1,385.366
1782792000000,59596.1,59601.4,59522.0,59533.0,834.639
1782792300000,59532.9,59550.4,59420.0,59443.3,1199.048
1782792600000,59443.3,59558.0,59400.0,59529.6,1072.911
1782792900000,59529.6,59533.6,59433.9,59441.6,556.336
1782793200000,59441.6,59500.0,59410.0,59446.9,506.384
1782793500000,59446.9,59554.5,59446.9,59521.6,585.236
1782793800000,59521.5,59641.3,59520.0,59641.3,775.724
1782794100000,59641.3,59672.1,59575.0,59575.0,480.845
1782794400000,59575.0,59591.6,59509.9,59580.2,607.71
1782794700000,59580.2,59580.2,59500.2,59520.0,562.905
1782795000000,59519.9,59529.6,59431.0,59449.9,571.354
1782795300000,59449.9,59483.3,59418.3,59458.3,313.444
1782795600000,59458.3,59511.1,59436.5,59487.2,576.589
1782795900000,59487.2,59491.8,59412.1,59435.3,377.516
1782796200000,59435.3,59435.3,59329.2,59410.7,1295.602
1782796500000,59410.8,59412.5,59351.0,59370.5,302.775
1782796800000,59370.5,59470.3,59370.4,59464.9,485.346
1782797100000,59465.0,59469.0,59343.0,59356.4,365.491
1782797400000,59356.4,59382.3,59336.0,59361.7,629.463
1782797700000,59361.7,59415.6,59330.0,59406.2,529.575
1782798000000,59406.2,59550.7,59391.1,59541.2,1297.566
1782798300000,59541.2,59596.2,59523.4,59587.0,496.828
1782798600000,59587.0,59593.3,59530.0,59581.7,328.695
1782798900000,59581.7,59633.5,59576.4,59627.7,573.096
1782799200000,59627.8,59649.7,59530.1,59555.9,427.69
1782799500000,59555.9,59555.9,59514.0,59518.9,147.578
1782799800000,59518.8,59555.0,59508.8,59546.9,159.728
1782800100000,59546.9,59555.3,59508.0,59541.7,157.359
1782800400000,59541.6,59552.5,59488.6,59544.8,631.053
1782800700000,59544.7,59698.9,59503.0,59669.2,804.747
1782801000000,59669.1,59691.6,59542.4,59552.8,430.144
1782801300000,59552.7,59619.5,59520.5,59545.1,260.02
1782801600000,59545.1,59597.9,59531.1,59541.6,224.097
1782801900000,59541.7,59585.3,59524.9,59575.1,146.541
1782802200000,59575.2,59575.2,59529.9,59529.9,136.997
1782802500000,59529.9,59575.2,59529.9,59571.7,210.867
1782802800000,59571.6,59611.7,59556.0,59564.0,243.797
1782803100000,59564.1,59565.7,59435.5,59467.6,349.59
1782803400000,59467.7,59479.1,59423.3,59471.6,266.353
1782803700000,59471.6,59513.4,59456.5,59476.6,234.278
1782804000000,59476.6,59492.1,59442.6,59492.0,126.999
1782804300000,59492.1,59556.8,59430.0,59450.8,493.463
1782804600000,59450.8,59541.9,59450.8,59500.9,234.632
1782804900000,59500.9,59547.0,59441.6,59449.5,439.621
1782805200000,59449.5,59538.9,59449.4,59490.3,586.731
1782805500000,59490.3,59541.1,59476.3,59497.9,241.472
1782805800000,59497.8,59516.9,59440.5,59510.4,368.805
1782806100000,59510.3,59514.1,59484.8,59497.7,238.757
1782806400000,59497.7,59532.7,59480.2,59503.2,318.605
1782806700000,59503.2,59520.4,59450.0,59450.2,221.522
1782807000000,59450.1,59500.0,59405.0,59405.0,391.199
1782807300000,59405.0,59405.1,59357.6,59400.8,558.554
1782807600000,59400.7,59411.9,59335.0,59393.5,485.796
1782807900000,59393.5,59419.2,59343.0,59383.9,382.027
1782808200000,59383.9,59420.2,59290.0,59296.5,794.491
1782808500000,59296.5,59307.1,59188.0,59237.3,2466.585
1782808800000,59237.2,59273.4,59212.0,59250.2,845.489
1782809100000,59250.1,59263.9,59159.0,59254.3,942.325
1782809400000,59254.2,59362.7,59211.1,59325.9,870.282
1782809700000,59326.0,59331.3,59239.1,59285.8,586.457
1782810000000,59285.8,59379.0,59276.0,59377.6,676.088
1782810300000,59377.6,59377.6,59276.0,59278.6,329.995
1782810600000,59278.6,59341.5,59256.5,59323.3,337.969
1782810900000,59323.3,59349.9,59264.6,59330.8,293.092
1782811200000,59330.7,59330.8,59236.6,59307.6,644.825
1782811500000,59307.6,59324.3,59274.9,59275.3,161.662
1782811800000,59275.3,59289.1,59225.0,59258.8,269.856
1782812100000,59258.9,59318.0,59250.1,59309.4,250.611
1782812400000,59309.3,59370.1,59309.3,59331.4,649.323
1782812700000,59331.5,59363.2,59331.4,59363.2,162.372
1782813000000,59363.1,59397.0,59350.4,59350.5,239.187
1782813300000,59350.5,59360.1,59340.6,59348.7,152.983
1782813600000,59348.7,59379.2,59340.6,59340.7,186.065
1782813900000,59340.6,59403.0,59309.5,59337.7,414.992
1782814200000,59337.7,59355.4,59285.7,59342.4,180.019
1782814500000,59342.4,59400.0,59342.0,59354.7,188.34
1782814800000,59354.7,59368.3,59308.6,59325.4,172.045
1782815100000,59325.5,59359.5,59325.5,59344.4,79.375
1782815400000,59344.3,59347.7,59313.3,59332.1,151.014
1782815700000,59332.1,59332.1,59264.5,59278.3,263.247
1782816000000,59278.4,59316.8,59278.4,59308.8,150.671
1782816300000,59308.9,59345.2,59284.2,59300.1,149.238
1782816600000,59300.1,59324.9,59265.0,59320.8,157.323
1782816900000,59320.8,59378.8,59299.3,59303.6,288.571
1782817200000,59303.7,59372.4,59294.5,59367.5,235.727
1782817500000,59367.5,59399.3,59344.7,59373.3,183.124
1782817800000,59373.2,59379.9,59355.4,59357.8,150.016
1782818100000,59357.9,59367.7,59276.3,59293.4,286.43
1782818400000,59293.3,59316.5,59225.0,59227.8,348.577
1782818700000,59227.8,59235.5,59161.7,59191.1,718.629
1782819000000,59191.2,59247.7,59100.0,59110.5,1298.686
1782819300000,59110.5,59209.9,59110.5,59165.1,922.947
1782819600000,59165.0,59245.0,59157.4,59218.6,400.355
1782819900000,59218.6,59291.0,59218.5,59259.5,466.6
1782820200000,59259.5,59316.3,59171.5,59196.4,523.489
1782820500000,59196.3,59196.4,59130.0,59162.3,679.738
1782820800000,59162.2,59162.3,59027.4,59037.7,1467.192
1782821100000,59037.6,59060.5,58955.6,59020.1,2077.779
1782821400000,59020.2,59081.3,58980.1,58987.8,684.094
1782821700000,58987.7,59046.3,58983.5,59003.5,750.954
1782822000000,59003.6,59009.8,58822.0,58827.6,3034.547
1782822300000,58827.6,58899.7,58724.5,58832.8,3472.714
1782822600000,58832.9,58861.7,58745.0,58763.2,1089.267
1782822900000,58763.1,58842.5,58759.8,58834.8,624.766
1782823200000,58834.8,58850.0,58787.3,58813.2,509.385
1782823500000,58813.3,58828.8,58650.0,58654.3,1982.285
1782823800000,58654.3,58667.0,58568.8,58637.0,2537.99
1782824100000,58637.1,58677.4,58351.0,58374.8,7012.067
1782824400000,58374.8,58519.9,58285.0,58440.1,3943.095
1782824700000,58440.0,58621.2,58435.2,58585.6,2884.77
1782825000000,58586.0,58600.0,58385.6,58430.3,2413.294
1782825300000,58430.3,58553.0,58426.5,58508.0,908.953
1782825600000,58508.1,58570.1,58401.5,58423.2,1122.926
1782825900000,58423.3,58492.8,58423.3,58484.9,465.5
1782826200000,58484.9,58732.0,58200.0,58350.5,5680.993
